Product code,Bureau of Meteorology station number,Date,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,86232,3/5/2013,,,
IDCJAC0009,86232,4/5/2013,4,3,Y
IDCJAC0009,86232,5/5/2013,0,,Y
IDCJAC0009,86232,6/5/2013,0,,Y
IDCJAC0009,86232,7/5/2013,1,1,Y
IDCJAC0009,86232,8/5/2013,0,,Y
IDCJAC0009,86232,9/5/2013,0,,Y
IDCJAC0009,86232,10/5/2013,0,,Y
IDCJAC0009,86232,11/5/2013,0,,Y
IDCJAC0009,86232,12/5/2013,0,,Y
IDCJAC0009,86232,13/5/2013,0.6,1,Y
IDCJAC0009,86232,14/5/2013,2.2,1,Y
IDCJAC0009,86232,15/5/2013,2.6,1,Y
IDCJAC0009,86232,16/5/2013,12.6,1,Y
IDCJAC0009,86232,17/5/2013,4.4,1,Y
IDCJAC0009,86232,18/5/2013,0.2,1,Y
IDCJAC0009,86232,19/5/2013,0.4,1,Y
IDCJAC0009,86232,20/5/2013,0.2,1,Y
IDCJAC0009,86232,21/5/2013,5,1,Y
IDCJAC0009,86232,22/5/2013,0,,Y
IDCJAC0009,86232,23/5/2013,0,,Y
IDCJAC0009,86232,24/5/2013,0,,Y
IDCJAC0009,86232,25/5/2013,0,,Y
IDCJAC0009,86232,26/5/2013,0,,Y
IDCJAC0009,86232,27/5/2013,0,,Y
IDCJAC0009,86232,28/5/2013,0,,Y
IDCJAC0009,86232,29/5/2013,0,,Y
IDCJAC0009,86232,30/5/2013,1.8,1,Y
IDCJAC0009,86232,31/5/2013,9.6,1,Y
IDCJAC0009,86232,1/6/2013,49,1,Y
IDCJAC0009,86232,2/6/2013,4.6,1,Y
IDCJAC0009,86232,3/6/2013,0.2,1,Y
IDCJAC0009,86232,4/6/2013,0.6,1,Y
IDCJAC0009,86232,5/6/2013,0,,Y
IDCJAC0009,86232,6/6/2013,0,,Y
IDCJAC0009,86232,7/6/2013,13.6,1,Y
IDCJAC0009,86232,8/6/2013,2,1,Y
IDCJAC0009,86232,9/6/2013,0,,Y
IDCJAC0009,86232,10/6/2013,0.2,1,Y
IDCJAC0009,86232,11/6/2013,0,,Y
